system:index,date,dewpoint_temperature_2m,evaporation_from_bare_soil_sum,relative_humidity,surface_pressure,temperature_2m,temperature_2m_max,temperature_2m_min,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction_deg,wind_speed_10m,.geo
20190101,2019-01-01,284.21768071661467,-9.269933448304326E-6,61.909759897400235,101006.13362798003,292.9784359402126,298.6976533913803,286.3235517405698,0.0,2.1304190975420796,-0.7357093867294294,-19.01314385612034,2.26439744906341,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102,2019-01-02,284.13780820802134,-9.702918935035873E-6,54.36574080444883,101005.75769523044,294.63368782299807,301.35012404888624,288.5267915430757,8.52346317969932E-7,-1.8103144998630532,-1.2738441701789263,-145.3176178512621,2.2260808204393157,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103,2019-01-03,282.1403208947809,-1.0907646693462102E-5,48.10614791455445,101085.88895731168,294.0759068744334,300.2354656625859,287.81895327376884,0.0,-1.0285709819615274,-0.8914858773720539,-138.8791687428766,1.3651808643087007,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104,2019-01-04,285.8935803336558,-9.04016304075214E-6,64.9388365396686,100820.0041700599,293.957647929532,299.046466035395,287.1448745279651,1.8314853192055878E-6,2.160746510131707,0.55659692002508,14.345177912555522,2.2332580604431658,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105,2019-01-05,283.4656897410494,-1.29506043075794E-5,51.92126806334422,100734.15604790114,294.5237980864804,301.10130982327973,288.54426186682844,8.360417677091705E-7,-0.8828399096248989,-2.3206584423996643,-109.60198298304198,2.5470428015214233,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106,2019-01-06,280.36975373453487,-7.4094166458591835E-6,52.1873739560999,100990.02765267782,291.3666577246317,296.85033774184745,286.7188776110183,1.716613724056515E-6,-3.795566760933822,-2.161623009246194,-151.2930604809016,4.413622940017312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107,2019-01-07,277.84005182724314,-7.514759243699591E-6,43.71852805411545,101015.40806553372,290.78479037479656,296.56072003079436,285.8372434701297,2.5765862687876506E-6,-3.5288747719746145,-1.6702643091690448,-155.13307217394816,3.948629736245814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108,2019-01-08,279.83275975667584,-9.102569954343917E-6,50.14489743826606,100878.60507051833,291.2994333458747,296.9080387740337,284.64352183216363,8.52346317969932E-7,-0.3345186146855946,-1.4800419078705283,-99.59827680201052,1.564658820016157,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109,2019-01-09,282.8470809888456,-8.901442416579827E-6,58.99972295508584,100835.21499178185,292.27714470917573,297.6641046058681,286.3879595709556,4.2319288695580326E-7,-0.8837503700503963,-0.4662245581649832,-70.79842954994072,1.1719065156434036,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110,2019-01-10,289.5886409988199,-6.591713658447577E-6,80.97749089118912,100545.39732465128,293.96381809384627,298.5376413439284,287.38708005819933,5.727779251722059E-5,3.582503994988685,0.8454662350672445,13.48088801666373,3.6868181891284957,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111,2019-01-11,286.73292864347604,-8.241160414560366E-6,64.78939107375639,100561.98153946371,294.8313686965121,298.8734999238284,290.877278418612,2.1923400797993785E-4,-1.853903575633581,-1.9868349794123452,-133.9492300093186,2.7550307492474357,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112,2019-01-12,283.958509979015,-8.750961777964288E-6,56.28268713692809,100665.42518968205,294.01349193752145,298.73964977592124,289.60075593404343,0.0,-1.7158954288268553,-1.7420411985673356,-133.09349542676847,2.452731116165247,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113,2019-01-13,281.3733352429542,-8.118028375389477E-6,48.45444496416075,101027.6619320724,293.22881290119705,298.6471020151249,288.4282191081008,8.583068797918258E-7,-4.4196006532569285,-2.7756761952000026,-148.4945604091146,5.256322189846201,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114,2019-01-14,278.7300640920412,-6.652984989248002E-6,45.847078434156856,101106.83022820765,291.18523605218513,296.48301221360316,286.9772758899003,1.293269178859191E-6,-4.607666097191646,-3.6646663792126954,-141.78888449335858,5.915927633262745,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115,2019-01-15,281.0188645453524,-1.0010244283197875E-5,51.809762791040356,100856.11678479376,292.10261910341313,297.8300764601664,285.9078554741159,2.794767829151088E-7,0.8483227245131264,-0.8700546215125832,-45.2006763316494,1.317287811367297,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116,2019-01-16,289.29202800763835,-8.383504048903032E-6,80.58178276924417,100643.00273597836,293.75821797071217,299.17667494005894,289.17626085751095,3.361052257087285E-6,2.4328966237698486,-0.42203655293899056,-9.892291509248945,2.470632247256513,"{""type"":""MultiPoint"",""coordinates"":[]}"
