system:index,NDBI,NDVI,lat,lon,station,year_month,.geo
0_0,0.03351694718003273,0.0464700348675251,24.9056,67.0822,Gulshan-e-Iqbal,2019-01,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
0_1,0.08857252448797226,0.059014007449150085,24.856,67.01,Saddar,2019-01,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
0_2,0.09912194311618805,0.05516491085290909,24.94,66.98,SITE_Industrial,2019-01,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
0_3,-0.010726643726229668,0.21325471997261047,24.82,67.03,Korangi_Industrial,2019-01,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
0_4,0.135854572057724,0.12581941485404968,24.98,67.12,North_Nazimabad,2019-01,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
0_5,0.08902306854724884,0.1968703716993332,24.89,67.13,Gulistan_Jauhar,2019-01,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
0_6,-0.025879044085741043,-0.15297570824623108,24.81,66.99,Landhi,2019-01,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
0_7,0.09684839844703674,0.04345165193080902,24.92,67.05,Federal_B_Area,2019-01,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
1_0,0.030849343165755272,0.051176518201828,24.9056,67.0822,Gulshan-e-Iqbal,2019-02,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
1_1,0.08413300663232803,0.07167070358991623,24.856,67.01,Saddar,2019-02,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
1_2,0.0677628144621849,0.05525422841310501,24.94,66.98,SITE_Industrial,2019-02,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
1_3,-0.003937007859349251,0.20893141627311707,24.82,67.03,Korangi_Industrial,2019-02,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
1_4,0.12862566113471985,0.11144521832466125,24.98,67.12,North_Nazimabad,2019-02,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
1_5,0.0577169731259346,0.24262356758117676,24.89,67.13,Gulistan_Jauhar,2019-02,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
1_6,0.19443315267562866,-0.15811532735824585,24.81,66.99,Landhi,2019-02,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
1_7,0.09348034858703613,0.058357540518045425,24.92,67.05,Federal_B_Area,2019-02,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
2_0,0.04130818322300911,0.04083750396966934,24.9056,67.0822,Gulshan-e-Iqbal,2019-03,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
2_1,0.09296131879091263,0.06150157377123833,24.856,67.01,Saddar,2019-03,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
2_2,0.08908648788928986,0.04935206100344658,24.94,66.98,SITE_Industrial,2019-03,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
2_3,0.002294768812134862,0.18586556613445282,24.82,67.03,Korangi_Industrial,2019-03,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
2_4,0.1499231904745102,0.11154408007860184,24.98,67.12,North_Nazimabad,2019-03,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
2_5,0.09118396788835526,0.1557038575410843,24.89,67.13,Gulistan_Jauhar,2019-03,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
2_6,0.186405211687088,-0.0497564934194088,24.81,66.99,Landhi,2019-03,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
2_7,0.09458108246326447,0.05318138748407364,24.92,67.05,Federal_B_Area,2019-03,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
3_0,0.052463795989751816,0.034811802208423615,24.9056,67.0822,Gulshan-e-Iqbal,2019-04,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
3_1,0.0985981673002243,0.0534205436706543,24.856,67.01,Saddar,2019-04,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
3_2,0.10063779354095459,0.035262156277894974,24.94,66.98,SITE_Industrial,2019-04,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
3_3,0.02134009823203087,0.2027748078107834,24.82,67.03,Korangi_Industrial,2019-04,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
3_4,0.1683090180158615,0.10543278604745865,24.98,67.12,North_Nazimabad,2019-04,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
3_5,0.10950618237257004,0.131382018327713,24.89,67.13,Gulistan_Jauhar,2019-04,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
