system:index,date,lat,lon,station,.geo
20190101T074350_20190101T083049_0,2019-01-01,24.9056,67.0822,Gulshan-e-Iqbal,"{""type"":""Point"",""coordinates"":[67.0822,24.905600000000003]}"
20190101T074350_20190101T083049_1,2019-01-01,24.856,67.01,Saddar,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20190101T074350_20190101T083049_2,2019-01-01,24.94,66.98,SITE_Industrial,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20190101T074350_20190101T083049_3,2019-01-01,24.82,67.03,Korangi_Industrial,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20190101T074350_20190101T083049_4,2019-01-01,24.98,67.12,North_Nazimabad,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20190101T074350_20190101T083049_5,2019-01-01,24.89,67.13,Gulistan_Jauhar,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20190101T074350_20190101T083049_6,2019-01-01,24.81,66.99,Landhi,"{""type"":""Point"",""coordinates"":[66.99,24.81]}"
20190101T074350_20190101T083049_7,2019-01-01,24.92,67.05,Federal_B_Area,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
20190101T092350_20190101T101045_0,2019-01-01,24.9056,67.0822,Gulshan-e-Iqbal,"{""type"":""Point"",""coordinates"":[67.0822,24.905600000000003]}"
20190101T092350_20190101T101045_1,2019-01-01,24.856,67.01,Saddar,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20190101T092350_20190101T101045_2,2019-01-01,24.94,66.98,SITE_Industrial,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20190101T092350_20190101T101045_3,2019-01-01,24.82,67.03,Korangi_Industrial,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20190101T092350_20190101T101045_4,2019-01-01,24.98,67.12,North_Nazimabad,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20190101T092350_20190101T101045_5,2019-01-01,24.89,67.13,Gulistan_Jauhar,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20190101T092350_20190101T101045_6,2019-01-01,24.81,66.99,Landhi,"{""type"":""Point"",""coordinates"":[66.99,24.81]}"
20190101T092350_20190101T101045_7,2019-01-01,24.92,67.05,Federal_B_Area,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
20190101T092850_20190101T101254_0,2019-01-01,24.9056,67.0822,Gulshan-e-Iqbal,"{""type"":""Point"",""coordinates"":[67.0822,24.905600000000003]}"
20190101T092850_20190101T101254_1,2019-01-01,24.856,67.01,Saddar,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20190101T092850_20190101T101254_2,2019-01-01,24.94,66.98,SITE_Industrial,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
